City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,novyy urengoy,RU,66.0833,76.6333,-9.47,93,38,9.84,scattered clouds
1,kapaa,US,22.0752,-159.319,71.58,88,0,5.75,light rain
2,avarua,CK,-21.2078,-159.775,77.05,88,75,6.91,broken clouds
3,araouane,ML,18.9048,-3.5265,75.72,17,94,11.23,overcast clouds
4,nisia floresta,BR,-6.0911,-35.2086,85.01,50,81,12.35,light rain
5,jamestown,US,42.097,-79.2353,38.79,63,100,9.22,overcast clouds
6,barrow,US,71.2906,-156.7887,15.82,86,100,9.22,overcast clouds
7,codrington,AU,-38.2667,141.9667,55.69,95,1,4.34,clear sky
8,ushuaia,AR,-54.8,-68.3,60.46,63,0,5.75,clear sky
9,saint george,US,37.1041,-113.5841,28.99,80,0,0.0,clear sky
10,cape town,ZA,-33.9258,18.4232,75.9,62,0,13.8,clear sky
11,pevek,RU,69.7008,170.3133,-0.31,78,0,2.64,clear sky
12,bathsheba,BB,13.2167,-59.5167,86.61,77,20,24.16,few clouds
13,vao,NC,-22.6667,167.4833,78.28,77,17,10.65,moderate rain
14,albany,US,42.6001,-73.9662,33.26,78,100,1.99,overcast clouds
15,rincon,US,32.296,-81.2354,46.85,87,100,8.05,overcast clouds
16,punta arenas,CL,-53.15,-70.9167,60.82,87,100,8.05,light rain
17,ostrovnoy,RU,68.0531,39.5131,20.77,88,100,9.26,overcast clouds
18,arzamas,RU,55.3949,43.8399,32.34,98,100,11.41,light snow
19,east london,ZA,-33.0153,27.9116,77.94,69,0,14.97,clear sky
20,bredasdorp,ZA,-34.5322,20.0403,70.41,69,25,14.36,scattered clouds
21,ereymentau,KZ,51.6199,73.1033,-12.87,100,86,6.85,overcast clouds
22,castro,BR,-24.7911,-50.0119,65.93,69,91,6.04,overcast clouds
23,bilma,NE,18.6853,12.9164,65.95,29,35,10.92,scattered clouds
24,poniatowa,PL,51.1798,22.1309,37.31,96,100,14.41,overcast clouds
25,rikitea,PF,-23.1203,-134.9692,76.17,80,6,8.63,clear sky
26,finschhafen,PG,-6.6024,147.8681,79.88,80,100,5.59,overcast clouds
27,syamzha,RU,60.0158,41.0614,33.01,91,100,11.27,overcast clouds
28,khatanga,RU,71.9667,102.5,-23.53,91,9,4.09,clear sky
29,chokurdakh,RU,70.6333,147.9167,-14.49,100,14,1.92,few clouds
30,carnarvon,AU,-24.8667,113.6333,85.28,41,74,18.14,broken clouds
31,norman wells,CA,65.282,-126.8329,-27.36,75,40,5.75,scattered clouds
