City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,kapaa,US,71.58,light rain,22.0752,-159.319,
2,avarua,CK,77.05,broken clouds,-21.2078,-159.775,
3,araouane,ML,75.72,overcast clouds,18.9048,-3.5265,
4,nisia floresta,BR,85.01,light rain,-6.0911,-35.2086,
5,jamestown,US,38.79,overcast clouds,42.097,-79.2353,
7,codrington,AU,55.69,clear sky,-38.2667,141.9667,
8,ushuaia,AR,60.46,clear sky,-54.8,-68.3,
10,cape town,ZA,75.9,clear sky,-33.9258,18.4232,
12,bathsheba,BB,86.61,few clouds,13.2167,-59.5167,
13,vao,NC,78.28,moderate rain,-22.6667,167.4833,
14,albany,US,33.26,overcast clouds,42.6001,-73.9662,
15,rincon,US,46.85,overcast clouds,32.296,-81.2354,
16,punta arenas,CL,60.82,light rain,-53.15,-70.9167,
18,arzamas,RU,32.34,light snow,55.3949,43.8399,
19,east london,ZA,77.94,clear sky,-33.0153,27.9116,
20,bredasdorp,ZA,70.41,scattered clouds,-34.5322,20.0403,
22,castro,BR,65.93,overcast clouds,-24.7911,-50.0119,
23,bilma,NE,65.95,scattered clouds,18.6853,12.9164,
24,poniatowa,PL,37.31,overcast clouds,51.1798,22.1309,
25,rikitea,PF,76.17,clear sky,-23.1203,-134.9692,
26,finschhafen,PG,79.88,overcast clouds,-6.6024,147.8681,
27,syamzha,RU,33.01,overcast clouds,60.0158,41.0614,
30,carnarvon,AU,85.28,broken clouds,-24.8667,113.6333,
32,new norfolk,AU,55.71,broken clouds,-42.7826,147.0587,
33,mpulungu,ZM,71.26,light rain,-8.7623,31.1141,
34,port alfred,ZA,71.19,clear sky,-33.5906,26.891,
35,dubai,AE,76.93,clear sky,25.2582,55.3047,
37,lorengau,PG,82.08,light rain,-2.0226,147.2712,
38,airai,TL,60.03,overcast clouds,-8.9266,125.4092,
39,bengkulu,ID,76.19,heavy intensity rain,-3.8004,102.2655,
40,varna,BG,42.87,clear sky,43.2167,27.9167,
43,wawa,NG,83.91,broken clouds,9.9022,4.4192,
45,vicuna,CL,88.77,clear sky,-30.0319,-70.7081,
47,busselton,AU,63.95,clear sky,-33.65,115.3333,
48,mahebourg,MU,78.26,few clouds,-20.4081,57.7,
49,mar del plata,AR,86.83,scattered clouds,-38.0023,-57.5575,
50,hermanus,ZA,70.81,scattered clouds,-34.4187,19.2345,
51,namibe,AO,69.96,broken clouds,-15.1961,12.1522,
53,azare,NG,71.19,clear sky,11.6765,10.1948,
56,sao gabriel da cachoeira,BR,87.6,clear sky,-0.1303,-67.0892,
57,san diego de la union,MX,65.46,broken clouds,21.4667,-100.8667,
59,ahipara,NZ,60.01,few clouds,-35.1667,173.1667,
60,fortuna,US,50.34,few clouds,40.5982,-124.1573,
61,shelburne,CA,32.76,overcast clouds,44.0787,-80.2041,
62,hilo,US,75.27,overcast clouds,19.7297,-155.09,
